,PMT NO,PAYMENT DATE,BEGINNING BALANCE,SCHEDULED PAYMENT,EXTRA PAYMENT,TOTAL PAYMENT,PRINCIPAL,INTEREST,ENDING BALANCE,MORTGAGE INSURANCE,PMI,TAX PAYMENT,TOTAL PAYMENT W ESCROW
0,1,2022-02-01,180000.0,850.0,0,850.0,325.0,525.0,179675.0,8.33,75.0,8.33,941.67
1,2,2022-03-01,179675.0,850.0,0,850.0,325.95,524.05,179349.05,8.33,75.0,8.33,941.67
2,3,2022-04-01,179349.05,850.0,0,850.0,326.9,523.1,179022.15,8.33,75.0,8.33,941.67
3,4,2022-05-01,179022.15,850.0,0,850.0,327.85,522.15,178694.3,8.33,75.0,8.33,941.67
4,5,2022-06-01,178694.3,850.0,0,850.0,328.81,521.19,178365.49,8.33,75.0,8.33,941.67
5,6,2022-07-01,178365.49,850.0,0,850.0,329.77,520.23,178035.73,8.33,75.0,8.33,941.67
6,7,2022-08-01,178035.73,850.0,0,850.0,330.73,519.27,177705.0,8.33,75.0,8.33,941.67
7,8,2022-09-01,177705.0,850.0,0,850.0,331.69,518.31,177373.3,8.33,75.0,8.33,941.67
8,9,2022-10-01,177373.3,850.0,0,850.0,332.66,517.34,177040.64,8.33,75.0,8.33,941.67
9,10,2022-11-01,177040.64,850.0,0,850.0,333.63,516.37,176707.01,8.33,75.0,8.33,941.67
10,11,2022-12-01,176707.01,850.0,0,850.0,334.6,515.4,176372.41,8.33,75.0,8.33,941.67
11,12,2023-01-01,176372.41,850.0,0,850.0,335.58,514.42,176036.83,8.33,75.0,8.33,941.67
12,13,2023-02-01,176036.83,850.0,0,850.0,336.56,513.44,175700.27,8.33,75.0,8.33,941.67
13,14,2023-03-01,175700.27,850.0,0,850.0,337.54,512.46,175362.73,8.33,75.0,8.33,941.67
14,15,2023-04-01,175362.73,850.0,0,850.0,338.53,511.47,175024.2,8.33,75.0,8.33,941.67
15,16,2023-05-01,175024.2,850.0,0,850.0,339.51,510.49,174684.69,8.33,75.0,8.33,941.67
16,17,2023-06-01,174684.69,850.0,0,850.0,340.5,509.5,174344.18,8.33,75.0,8.33,941.67
17,18,2023-07-01,174344.18,850.0,0,850.0,341.5,508.5,174002.69,8.33,75.0,8.33,941.67
18,19,2023-08-01,174002.69,850.0,0,850.0,342.49,507.51,173660.2,8.33,75.0,8.33,941.67
19,20,2023-09-01,173660.2,850.0,0,850.0,343.49,506.51,173316.7,8.33,75.0,8.33,941.67
20,21,2023-10-01,173316.7,850.0,0,850.0,344.49,505.51,172972.21,8.33,75.0,8.33,941.67
21,22,2023-11-01,172972.21,850.0,0,850.0,345.5,504.5,172626.71,8.33,75.0,8.33,941.67
22,23,2023-12-01,172626.71,850.0,0,850.0,346.51,503.49,172280.21,8.33,75.0,8.33,941.67
23,24,2024-01-01,172280.21,850.0,0,850.0,347.52,502.48,171932.69,8.33,75.0,8.33,941.67
24,25,2024-02-01,171932.69,850.0,0,850.0,348.53,501.47,171584.16,8.33,75.0,8.33,941.67
25,26,2024-03-01,171584.16,850.0,0,850.0,349.55,500.45,171234.62,8.33,75.0,8.33,941.67
26,27,2024-04-01,171234.62,850.0,0,850.0,350.57,499.43,170884.05,8.33,75.0,8.33,941.67
